#AOCI-CODE-VOLUME: 1

===/Users/kdongnmt.edu/Desktop/mind canvas/代码_mindcanvas/===
.gitattributes[FV4T]: F:强制全仓文本以LF检出，二进制自动识别不改写 | R:- | A:- | S:Windows autocrlf 重写换行会让 AOCI 基线整树 stale
.gitignore[FG6T]: F:忽略密钥与env、构建产物、上传与备份目录、课件解压目录及机器绑定的.mcp.json | R:- | A:- | S:courseware/ 必须忽略：它在仓库目录内，否则 deploy.sh 第1步工作区干净检查永远失败，报错还像有人改了服务器代码
AGENTS.md[SG6S]: F:托管的Agent仓库认知规则：AOCI最小使用入口、认知建立与恢复、任务收尾与维护 | R:- | A:- | S:由 aoci init 写入，以 aoci:begin/end 标记界定托管区块；具体流程以当前Guide与工具说明为准
AOCI_INDEX.md[SG7L]: F:手工维护的平台全量索引：部署、系统、能力清单、服务器、已知坑与前后端逐文件条目 | R:- | A:- | S:含明文服务器地址与账号口令，切勿外发；与AOCI正式索引并存，2026-07-03基线后曾142个commit未同步
deploy.sh[OV8T]: F:六步部署：工作区检查、只允许 main、ff-only 拉取、编译后端、构建前端、发布静态文件与重启服务 | R:code:.gitignore | A:- | S:set -e 下任一步失败即止；第1步拒绝有未提交改动的工作区（服务器上不应直接改代码），第2步强制 main 且用 merge --ff-only；前端产物 cp 到 /var/www/mindcanvas/
test_phase7.sh[TB5L]: F:Phase7 端到端回归：认证、房间、入场、Widget、场控、导出、总结、学情、分组、流程、分享与模板 | R:code:test_phase7_final.sh,code:server/main.go,code:configs/001_init.sql | A:- | S:脚本内写死了数据库与测试账号口令，且依赖本机 psql 与 redis-cli，只能在服务器上跑；Widget 数据直插数据库，widget_service 与 WS 链路一次都没走到
test_phase7_final.sh[TB5L]: F:Phase7 回归的收敛版：同一套用例，数据库取值统一走 pgq/pgx | R:code:test_phase7.sh,code:test_phase8_full.sh | A:- | S:与 test_phase7.sh 是同一批用例的两个版本，跑哪个都行但别指望结果一致；pgq 用 head -1 是因为 psql 会把 INSERT 计数行和 RETURNING 值一起吐出来
test_phase8_full.sh[TB6L]: F:Phase8-v2 全量回归：Phase4-8 全部功能，另含作业中心、作业码、花名册与凭码提交 | R:code:test_phase7_final.sh,code:server/services/token_service.go,code:server/services/assignment_service.go | A:- | S:打的是 https://localhost 且 curl -sk 跳过证书校验，走 nginx 而非直连 8080，与两个 phase7 脚本的入口不同；同样在脚本里写死了库与账号口令
缺陷清单_AOCI审计.md[SG7S]: F:AOCI-CODE 索引构建时对全仓 223 个源文件逐文件阅读产出的缺陷清单：功能缺陷/安全隐私/数据一致性/死代码/健壮性五类，另附索引自身遗留项 | R:- | A:- | S:-

===/Users/kdongnmt.edu/Desktop/mind/.github/workflows/===
ci.yml[OV6T]: F:main推送与PR触发，后端gofmt检查加go build/vet/test、前端npm ci+build、前端契约测试三作业并行 | R:code:contracts/room_sync.json | A:- | S:gofmt -l 非空即红，须先全仓清零再加检查；先本地全绿再入 CI 免卡死 PR；契约测试用 glob 传 web/tests/*.test.mts，传目录报 MODULE_NOT_FOUND

===/Users/kdongnmt.edu/Desktop/mind/configs/===
001_init.sql[PB9M]: F:初始化六张核心表 tenants/users/rooms/room_elements/widget_interactions/room_sessions 及索引 | R:code:configs/002_dropzone.sql,code:configs/004_scene_persistence.sql,code:configs/011_avatar.sql,code:configs/012_chat.sql | A:- | S:idx_wi_no_duplicate_vote 是仅对 action_type='vote' 的部分唯一索引，用数据库原子性替代应用层计数防重复投票，词云与问答不受限；chk_tenant_role 要求 superadmin 的 tenant_id 为 NULL 而 admin/teacher 非空；room_elements 用 is_deleted 软删除以支持撤销；学生无账号不入 users 表
002_dropzone.sql[PB7S]: F:作品墙基础设施：room_files文件元数据表与room_groups分组表，并幂等扩展widget_interactions | R:code:configs/001_init.sql,code:configs/013_shelf.sql | A:- | S:submit 类型故意不加唯一约束，提交上限由应用层 maxPerStudent 控制；answer 另建部分唯一索引防重复
003_teaching_flow.sql[PW7T]: F:课堂流程表teaching_flows：节点数组、当前节点索引、三态状态机与学生进度条开关，并补rooms.room_mode | R:code:configs/001_init.sql | A:- | S:nodes 内节点结构（type/duration/widgetElementId/entryMode）是应用层约定，数据库不校验
004_scene_persistence.sql[PD8T]: F:room_scenes场景持久化表：Excalidraw完整场景双写Redis与PostgreSQL，含版本号与数据大小 | R:code:configs/001_init.sql | A:- | S:解决场景只存Redis时七天过期丢失；idx_rs_room_unique 每房间唯一，供UPSERT当前场景；迁移为已有 active/finished 房间插入 version=0 空占位避免首查慢
005_peer_review.sql[PB6T]: F:同伴互评表peer_reviews：维度评分JSONB、文字评论与四个查询索引 | R:code:configs/002_dropzone.sql | A:- | S:UNIQUE(submission_id,reviewer_uuid) 保证每人每作品只评一次；submission_id 指向 widget_interactions.id 但未建外键
006_share_template.sql[PB7T]: F:公开分享页room_shares与模板库room_templates：token访问、密码过期脱敏开关、模板快照与使用计数 | R:code:configs/001_init.sql | A:- | S:visibility=password 时 password_hash 存 bcrypt；expires_at 为 NULL 表示永不过期，其部分索引只索引非空行
007_assignment.sql[PB8S]: F:AI作业评价六表：assignments、materials、rubrics、submissions、assessments与feedback_logs | R:code:configs/008_assignment_v2.sql,code:configs/009_materials_updated_at.sql,code:configs/010_job_queue.sql | A:- | S:rubric 按 (assignment_id,version) 唯一版本化，避免同批作业混算；assignment_materials 以 material_role 区分师生五类材料并承载解析结果，解析状态机为 pending/parsing/done/failed/skipped
008_assignment_v2.sql[PI7T]: F:作业码assignment_tokens与花名册assignment_rosters，并为assignments补期望人数与名单来源 | R:code:configs/007_assignment.sql | A:- | S:dedicated 码绑定 student_uuid 属强身份，universal 码提交时填姓名属弱身份；花名册对同一作业同名学生唯一
009_materials_updated_at.sql[PD4T]: F:补 assignment_materials.updated_at 并回填，新增解析恢复用部分索引 | R:code:configs/007_assignment.sql | A:- | S:007建表时遗漏该字段；索引仅覆盖 parse_status='parsing'
